year,scenario,isp_scenario,h2_fraction,total_gas_mwh,total_h2_mwh,scrap_t,scrap_share,electrolyser_mw,new_electrolyser_mw,h2_storage_mwh,new_h2_storage_mwh,electric_heater_mw,new_electric_heater_mw,h2_burner_mw,new_h2_burner_mw,wind_mw,new_wind_mw,wind_capex_per_kw,solar_mw,new_solar_mw,solar_capex_per_kw,battery_power_mw,new_battery_power_mw,battery_power_capex_per_kw,battery_energy_mwh,new_battery_energy_mwh,battery_energy_capex_per_kwh,grid_link_mw,new_grid_link_mw,grid_link_capex_per_mw,ely_wacc_new,emissions_saved_tCO2,emissions_tCO2,emissions_scope1_tCO2,emissions_scope2_tCO2,total_import_mwh,total_export_mwh_delivered,annual_system_cost,electrolyser_cf,electrolyser_realised_price,avg_wholesale_price_sa_n,flexibility_premium,eaf_total_mwh,eaf_realised_price,eaf_flexibility_premium,lcoh_per_kg,lcos_per_t_steel,lcoh_lp_per_kg,lcos_lp_per_t_steel,ely_tranche_annuity,h2_store_tranche_annuity,capex_per_kw,gas_price,carbon_price,discount_rate,subregion,solve_seconds
2040,Policy-stated + gas flat,step_change,0.6981475619449085,1032304.0362132089,2387592.2643255377,8.499881866121347e-05,5.312426166325842e-11,628.7906252483598,223.49943844278891,1948.7698100602104,1876.4066772747842,198.5540724741794,111.34149679521055,4.275881667669968,4.275881667669968,135.1144356736498,1.0942358130705543e-11,2200.0,1759.1987384130803,2.4101609596982598e-11,1100.0,8.936407250167363e-07,8.936407250167363e-07,500.0,1.3903046814152522e-06,1.3903046814152522e-06,250.0,1701.6809580153545,5.184119800105691e-11,400000.0,0.09,701393.7127332904,194606.2872667096,192696.75342646564,1909.5338402439745,6310789.9278002735,4451458.641016515,653116658.4041919,0.6192299576214386,3.852541560860426,35.804585799820444,31.952044238960017,960000.0,27.850047080393892,7.9545387194265516,3.0667033105180512,298.49620535805605,2.8728503759254735,287.05469032135494,66523681.61864656,3967938.9497203873,700.0,12.0,120.0,0.09,CSA,507.4
2041,Policy-stated + gas flat,step_change,0.7777690296003743,736173.8216931692,2576477.9674312193,1.2140149446805733e-06,7.587593404253584e-13,628.7906252483617,1.9326762412674725e-12,2825.841732672315,877.0719226121048,198.5540724741806,1.1937117960769683e-12,26.139737055729118,21.86385538805915,135.114435673639,1.4210854715202004e-13,2200.0,1759.1987384130564,2.2737367544323206e-13,1100.0,1.2161939534250094e-08,1.2161939534250094e-08,500.0,1.8210786509556824e-08,1.8210786509556824e-08,250.0,1734.256562277854,32.57560426255145,400000.0,0.09,748095.1564783104,147904.84352168962,137419.1133827249,10485.73013896472,7387952.180264654,4896853.061629262,670723965.10349,0.668218090007796,3.550022205824395,32.10941800127304,28.559395795448648,960000.0,25.823064040642155,6.286353960630887,2.931464213537775,308.89803480532544,2.7489639867125057,297.4565197686244,66523681.61864656,5753767.0272454545,700.0,22.0,120.0,0.09,CSA,517.7
2042,Policy-stated + gas flat,step_change,0.7959636632776312,673382.4710964668,2626924.140527987,0.00014577975924038968,9.111234952524355e-11,676.4893034019312,47.69867815357145,4580.363839854667,1754.522107182352,208.0955126246794,9.541440150499994,77.16749888203873,51.027761826309614,135.11443567366194,2.3078428057488054e-11,2200.0,1759.198738413097,4.092726157978177e-11,1100.0,1.1660673703473076e-06,1.1660673703473076e-06,500.0,2.122557458809202e-06,2.122557458809202e-06,250.0,1789.9934302062884,55.73686792843432,400000.0,0.09,759067.0476512035,136932.9523487965,125698.06127134046,11234.891077456057,7014615.7769849505,4376699.612367549,662077426.7724857,0.6332634919803845,8.139587317101501,37.12203734905199,28.982450031950492,960000.0,29.86799480505435,7.254042543997642,3.0462812303708353,316.50074087719497,2.8665713521869054,305.05922584049387,70181337.05663961,9326193.370929034,700.0,22.0,120.0,0.09,CSA,413.2
2028,CBAM-binding + gas rising,step_change,0.0,0.0,0.0,1599999.9999999986,0.9999999999999991,-0.0,0.0,1.0808873168207642e-05,1.0808873168207642e-05,8.18420531531936e-07,8.18420531531936e-07,5.254598263251823e-06,5.254598263251823e-06,2.3530236289061077e-07,2.3530236289061077e-07,2200.0,3.641113467493953e-07,3.641113467493953e-07,1100.0,7.168679477099365e-07,7.168679477099365e-07,500.0,1.3779499599909784e-06,1.3779499599909784e-06,250.0,150.00000007177394,7.177393968049728e-08,400000.0,0.13,858636.4908638593,37363.50913614075,0.0,37363.50913614075,1047476.0683818529,65196.013800274195,1205953799.8921492,0.0,,53.9646335696242,,959999.9999999998,49.902440280285894,4.062193289338303,,608.9894447408773,,608.9894447546324,0.0,0.0,1800.0,14.0,80.0,0.13,CSA,16.8
2030,CBAM-binding + gas rising,step_change,0.13830050650933223,3829454.4431691775,614617.3847674959,2.2072412270762784e-05,1.379525766922674e-11,216.21042093948137,216.21042093948137,3.77452742749542e-06,3.77452742749542e-06,9.434788873550584e-08,9.434788873550584e-08,9.079734497969233e-07,9.079734497969233e-07,7.5466615156766e-08,7.5466615156766e-08,2200.0,6.262811957432846e-07,6.262811957432846e-07,1100.0,1.5536627775780045e-07,1.5536627775780045e-07,500.0,2.5045123066862455e-07,2.5045123066862455e-07,250.0,373.70820319039535,223.70820319039535,400000.0,0.13,176563.17435809947,719436.8256419005,714831.4960582464,4605.329583654169,2053335.443187328,13959.022115386775,576002663.2973284,0.46358147380705333,24.467121374703698,67.91110106735114,43.443979692647446,960000.0,62.317823046813935,5.5932780205372055,4.291767287295701,251.15950740804118,4.291767287491349,251.15950741284456,44320856.430720665,0.0,1440.0,14.0,100.0,0.13,CSA,713.5
2033,CBAM-binding + gas rising,step_change,0.1854799501180701,3530613.2362943967,803980.1685041501,6.92769281936864e-05,4.3298080121054e-11,316.87735223023975,100.66693129075838,28.407079179623942,28.407079179623942,23.906012891256015,23.906012891256015,0.6387437829931256,0.6387437829931256,3.1372095337621603e-07,3.1372095337621603e-07,2200.0,978.1634265989807,978.1634265989807,1100.0,4.648218858566734e-07,4.648218858566734e-07,500.0,8.479388302266741e-07,8.479388302266741e-07,250.0,873.2572885851491,499.5490853947538,400000.0,0.09,236453.02411548025,659546.9758845198,659047.8041082873,499.1717762324686,1191354.3511014495,1125625.4309558398,872476893.184608,0.41376332155221657,31.35020632222073,83.24218495131952,51.89197862909879,960000.0,72.00207775371469,11.240107197604829,4.793704256056806,275.8989321448831,4.389315284351456,264.48189588903404,56451334.65079867,57840.364389234004,1100.0,14.0,130.0,0.09,CSA,973.3
2037,CBAM-binding + gas rising,step_change,0.33660712151672706,2664833.8790889243,1352143.0368851842,0.0001611759346293464,1.007349591433415e-10,608.3051734139211,291.4278211836814,1630.3739483743361,1601.9668691947122,202.4505805669647,178.5445676757087,0.638743805547305,2.2554179412992426e-08,320.0724418954521,320.0724418954521,2200.0,2054.4205987815362,1076.2571721825557,1100.0,1.1314968592355802e-06,1.1314968592355802e-06,500.0,1.9829622817815257e-06,1.9829622817815257e-06,250.0,2067.0929876724035,1193.8356990872544,400000.0,0.09,406174.3255339143,489825.6744660857,497435.6574299325,-7609.982963846833,986988.897468836,3557463.4357635006,1108894121.5122766,0.3624924619629539,29.33020012092482,88.25777093406543,58.92757081314061,960000.0,77.58214766404595,10.675623270019486,4.106778346853792,317.2737094508901,3.673746591232108,300.43279867210924,83587491.60129938,3319645.1725430144,850.0,14.0,170.0,0.09,CSA,875.3
2040,CBAM-binding + gas rising,step_change,0.7503952086459909,837275.7989471842,2517130.1577866105,0.0002154968636521526,1.346855397825954e-10,661.9862390292078,53.681065615286684,2832.7862199433316,1202.4122715689955,202.45058058130772,1.4343015664053382e-08,39.86856643002032,39.2298226470272,320.07244189547805,2.5977442419389263e-11,2200.0,2054.4205987815963,6.002665031701326e-11,1100.0,2.247389710894308e-06,2.247389710894308e-06,500.0,3.319975506122371e-06,3.319975506122371e-06,250.0,2132.0838135804606,64.9908259080571,400000.0,0.09,739708.5175134358,156291.48248656426,156291.48247014105,1.6423218601440994e-05,7302467.577154775,6124643.0916589685,759651662.5508465,0.6200897678984364,5.221181978574002,34.50165267743561,29.280470698861606,960000.0,27.04367935016561,7.457973327269997,3.7615922763939307,376.3906123013547,3.386394335185386,353.30241832162716,87703891.66028745,5767906.8714621775,700.0,14.0,200.0,0.09,CSA,510.5
2041,CBAM-binding + gas rising,step_change,0.818901120090819,591028.6444021983,2672540.1015701233,1.9186010705326342e-06,1.1991256690828965e-12,661.9862390292104,2.6147972675971687e-12,3562.708073578239,729.9218536349072,202.4505805669665,1.7905676941154525e-12,43.763691269469156,3.895124839448833,320.0724418954523,2.2737367544323206e-13,2200.0,2054.4205987815367,4.547473508864641e-13,1100.0,1.6803736986450892e-08,1.6803736986450892e-08,500.0,2.7287433023103674e-08,2.7287433023103674e-08,250.0,2339.3633842937384,207.27957071327774,400000.0,0.09,785584.2003796574,110415.79962034253,110325.346955077,90.45266526553998,9055915.980584782,7291562.523321044,774757984.3131849,0.6583746836274509,4.980275703694108,31.353742752672606,26.373467048978497,960000.0,25.390858220678684,5.962884531993922,3.653780995742947,382.7663555148226,3.2961461366163394,359.6781615350951,87703891.66028745,7254119.013264891,700.0,22.0,200.0,0.09,CSA,578.2
2042,CBAM-binding + gas rising,step_change,0.833302084516404,542138.5364812898,2710082.913970135,0.0005851180057780907,3.6569875361130667e-10,669.5075094610196,7.521270431811786,4853.662590379457,1290.9545168012178,202.45058058421347,1.7248765971089597e-08,95.76086487526507,51.997173605795915,320.0724418955917,1.3960743672214448e-10,2200.0,2054.420598781726,1.8962964531965554e-10,1100.0,4.652769954564175e-06,4.652769954564175e-06,500.0,8.460744254623964e-06,8.460744254623964e-06,250.0,2516.584408396053,177.22102410231446,400000.0,0.09,793307.510577171,102692.48942282904,101199.19347650741,1493.2959463216207,9031101.110662881,7039046.15907399,769235118.6616455,0.660123174309654,7.742682212097384,34.46978966730432,26.727107455206934,960000.0,27.28356227882294,7.186227388481377,3.6975093625201603,391.28102839494676,3.3438483260055074,368.1928344152192,88280641.72465947,9882663.792175822,700.0,22.0,200.0,0.09,CSA,427.4
2028,Delayed action + gas flat,step_change,0.0,0.0,0.0,1599999.9999999998,0.9999999999999999,-0.0,0.0,9.396650572698609e-06,9.396650572698609e-06,6.867633036641375e-07,6.867633036641375e-07,4.664552833601311e-06,4.664552833601311e-06,1.9344399426780924e-07,1.9344399426780924e-07,2200.0,2.674605352075827e-07,2.674605352075827e-07,1100.0,6.48037789905605e-07,6.48037789905605e-07,500.0,1.1993807728343974e-06,1.1993807728343974e-06,250.0,150.0000000060865,6.086509074521018e-09,400000.0,0.13,837474.7424559174,58525.25754408257,0.0,58525.25754408257,1053026.9634578626,70527.09341540154,1175980838.1299512,0.0,,47.37776188790863,,959999.9999999999,44.0002157857886,3.3775461021200357,,605.5778576200433,,605.5778576320014,0.0,0.0,1800.0,12.0,31.6,0.13,CSA,16.9
2030,Delayed action + gas flat,step_change,0.018184427818621028,4663603.743194515,86375.6575528268,1.184780707367108e-05,7.404879421044425e-12,28.675300511342005,28.675300511342005,2.407392046190775e-06,2.407392046190775e-06,6.315991644434915e-08,6.315991644434915e-08,5.867781962885846e-07,5.867781962885846e-07,3.179354292363289e-08,3.179354292363289e-08,2200.0,7.253453027663618e-08,7.253453027663618e-08,1100.0,8.053600088617674e-08,8.053600088617674e-08,500.0,1.521071090621463e-07,1.521071090621463e-07,250.0,181.23732421626838,31.237324216268377,400000.0,0.13,4301.998687744723,891698.0013122553,870539.3653963094,21158.635915945826,1288498.8214240407,18948.347552816154,493371133.65410113,0.49122588353194874,7.63741606827601,57.433039619368124,49.79562355109211,960000.0,53.28839057441483,4.144649044953297,4.539148858170276,191.13957600473378,4.539148858384804,191.1395760077974,5878134.233995578,0.0,1440.0,12.0,43.0,0.13,CSA,795.0
2033,Delayed action + gas flat,step_change,0.046607381011966605,4456014.162714027,217835.91118711897,4.976056650403011e-05,3.110035406501882e-11,98.74094908541353,70.06564857407153,1.0025416887789165e-05,1.0025416887789165e-05,2.268355654629692e-07,2.268355654629692e-07,2.394815074073787e-06,2.394815074073787e-06,1.7696366379719908e-07,1.7696366379719908e-07,2200.0,417.0315765714283,417.0315765714283,1100.0,4.302132809150147e-07,4.302132809150147e-07,500.0,6.500849480737871e-07,6.500849480737871e-07,250.0,400.2886731988037,219.0513489825353,400000.0,0.13,42204.09296473721,853795.9070352628,831789.310373285,22006.596661977856,737644.1055001521,260686.44547325186,775374565.0194784,0.35977421409319366,9.117701995536553,75.5086874649852,66.39098546944865,960000.0,68.37142456150032,7.137262903484881,8.646987974681817,215.3351720960569,8.595467302492729,214.46773910553443,16849655.799562383,0.0,1100.0,12.0,60.1,0.13,CSA,753.3
2037,Delayed action + gas flat,step_change,0.11550643172627906,3979578.4843008546,519695.0288665234,0.00015692428124463903,9.80776757778994e-11,274.7252235995078,175.98427451409424,18.20510430574218,18.20510430574218,1.075108276784931e-06,1.075108276784931e-06,0.49226797054157295,0.49226797054157295,44.24362248818653,44.24362248818653,2200.0,1604.8159679419753,1187.784391370547,1100.0,1.3734146233048282e-06,1.3734146233048282e-06,500.0,2.157023987335307e-06,2.157023987335307e-06,250.0,1535.7256168946712,1135.4369436958675,400000.0,0.13,259589.21076526784,636410.7892347322,742854.6504028261,-106443.86116809398,772182.915406286,2807544.883543426,998190512.9941379,0.30849482340403206,12.205843512204645,86.35628014166396,74.1504366294593,960000.0,75.98011682292616,10.376163318737795,7.944740289350175,241.3372261432657,7.809460901829327,238.26564180197943,38143879.75533758,49672.964840250475,850.0,12.0,82.9,0.13,CSA,973.1
2040,Delayed action + gas flat,step_change,0.6718517171232207,1136410.3146744263,2326689.6738790777,0.00023304770694589379,1.4565481684118361e-10,600.1364197861936,325.41119618668586,1943.184661713458,1924.9795574077157,177.39244723677004,177.39244723677004,10.845138911854782,10.35287094131321,44.24362248822418,3.765165956792771e-11,2200.0,1604.815967942043,6.775735528208315e-11,1100.0,2.630496569841461e-06,2.630496569841461e-06,500.0,3.833132230243977e-06,3.833132230243977e-06,250.0,1535.7256168948245,1.532498572487384e-10,400000.0,0.09,677345.5385749876,218654.46142501244,212129.9254058929,6524.536019119565,5765428.225849043,3596575.575899832,606609807.6856097,0.6322463533606666,3.580602552453326,36.69570393722596,33.11510138477263,960000.0,28.57030132125458,8.125402615971378,2.7945671183045064,269.3854669231209,2.6098806823495675,258.704305071144,63097234.38466151,3969171.986131838,700.0,12.0,100.0,0.09,CSA,537.2
2041,Delayed action + gas flat,step_change,0.765670445655168,779794.8388060656,2547975.0662164306,1.0616978368029614e-05,6.635611480018509e-12,618.0785524363231,17.94213265012945,2701.8817309845244,758.6970692710665,192.71611519939282,15.323667962622778,17.51569714806988,6.670558236215097,44.24362248818779,1.2576606422953773e-12,2200.0,1604.815967941978,2.7284841053187847e-12,1100.0,1.0325563346984134e-07,1.0325563346984134e-07,500.0,1.575870791468595e-07,1.575870791468595e-07,250.0,1560.0694347584454,24.34381786377412,400000.0,0.09,729749.254102763,166250.745897237,145561.7032437989,20689.0426534381,6824501.553454386,3961884.0689335526,622221248.5946515,0.6722787036414913,4.627218494009893,33.311000436304205,28.683781942294313,960000.0,26.71354299099274,6.597457445311466,2.7039097539181194,283.03693905711566,2.5320199409381687,272.3557772051388,64473082.55482773,5513974.064170167,700.0,22.0,100.0,0.09,CSA,616.5
2042,Delayed action + gas flat,step_change,0.775966698204503,745335.5769364652,2581560.78607311,7.638826797846259e-06,4.7742667486539115e-12,678.3581888559416,60.279636419618555,4608.823719399867,1906.9419884153422,210.5506419136156,17.83452671422279,84.78401506130957,67.2683179132397,44.24362248818746,9.308109838457312e-13,2200.0,1604.8159679419773,2.0463630789890885e-12,1100.0,7.21339576730906e-08,7.21339576730906e-08,500.0,1.1274364258044218e-07,1.1274364258044218e-07,250.0,1560.0694347584497,4.320099833421409e-12,400000.0,0.09,736250.4846745153,159749.51532548468,139129.30769480683,20620.207630677844,6572641.053346908,3563890.952835764,616146453.5938468,0.6206133841397526,7.704903109527684,38.1224546236829,30.417551514155214,960000.0,30.581611605395704,7.540843018287195,2.8118771089118355,290.39757573843565,2.641752813118819,279.71641388645884,69095477.73401055,9396746.340110082,700.0,22.0,100.0,0.09,CSA,452.9
