asset,year,capacity,unit,capex_aud
MeOH storage,2035,275253.1654923458,MWh,7469181.375169183
MeOH synthesis,2035,2043.3293575053963,MW_H₂,1901668820.5346353
Refinery: diesel,2035,181.9699636146057,MW_MeOH,10850000.22950761
Refinery: kero (SAF),2035,440.2499057509379,MW_MeOH,33750000.23708374
Refinery: naphtha,2035,440.2499118449232,MW_MeOH,11250000.234751591
Refinery: wax,2035,440.2499198527015,MW_MeOH,6000000.234335842
Shared HCR: diesel,2035,4.954338079562156,t/hr,6510000.236544673
Shared HCR: kero,2035,15.41095908284182,t/hr,20250000.23485415
Shared HCR: naphtha,2035,5.1369864798577165,t/hr,6750000.23453304
Solar PV,2035,490.7685843518011,MW,539845442.7869812
Wind,2035,2977.9062732841558,MW,6551393801.2251425
CO₂ storage,2038,86464.09451923368,t,12969614.177885052
Electric heater,2038,18.82973267181756,MW_th,7531893.068727024
Electrolyser,2038,4089.1440459863907,MW,3066858034.489793
H₂ storage,2038,8393.671501709734,MWh,167873430.03419468
MeOH storage,2038,2000816.649447327,MWh,54293517.12068124
MeOH synthesis,2038,2750.3082178812174,MW_H₂,2559634043.1334877
Refinery: diesel,2038,293.49994082507476,MW_MeOH,17500000.34102843
Refinery: kero (SAF),2038,293.4999395543407,MW_MeOH,22500000.34104938
Refinery: naphtha,2038,293.4999482931639,MW_MeOH,7500000.336992117
Refinery: wax,2038,293.4999597675708,MW_MeOH,4000000.3361094953
Shared HCR: diesel,2038,7.990867835995292,t/hr,10500000.336497813
Shared HCR: kero,2038,10.27397285911757,t/hr,13500000.336880488
Shared HCR: naphtha,2038,3.4246577899239927,t/hr,4500000.3359601265
Solar PV,2038,3035.728416808611,MW,3339301258.4894724
Wind,2038,4879.781653082354,MW,10735519636.781178
Electric heater,2040,18.829733695357532,MW_th,7531893.478143012
Electrolyser,2040,3362.706132134248,MW,2353894292.4939737
H₂ storage,2040,17598.245192097504,MWh,351964903.84195006
MeOH storage,2040,112798.05389996385,MWh,3060851.7138683656
MeOH synthesis,2040,2058.8219558491437,MW_H₂,1916087343.476693
Refinery: diesel,2040,293.4999409606458,MW_MeOH,17500000.34911189
Refinery: kero (SAF),2040,293.4999397325105,MW_MeOH,22500000.354708053
Refinery: naphtha,2040,293.4999484138134,MW_MeOH,7500000.340075154
Refinery: wax,2040,293.49996003945716,MW_MeOH,4000000.339814933
Shared HCR: diesel,2040,7.9908678411813625,t/hr,10500000.34331231
Shared HCR: kero,2040,10.273972861205188,t/hr,13500000.339623617
Shared HCR: naphtha,2040,3.42465779689471,t/hr,4500000.345119649
Solar PV,2040,2582.7501588241403,MW,2841025174.7065544
Wind,2040,2493.836520599669,MW,5486440345.319271
